day	application	lottery	rewordPoint	mailMagazine	usingCard 	questionnaire	usingMailOrder	shopping
00	0	0	0	0	0	0	0	0
01	19	1	14	0	0	0	0	0
02	40	1	57	60	0	0	0	0
03	28	2	0	0	0	0	0	0
04	21	1	4	0	0	0	0	0
05	24	1	5	0	0	0	0	180
06	18	2	0	0	0	0	0	206
07	18	2	3	0	0	0	0	0
08	15	1	0	0	0	0	0	100
09	46	3	0	0	0	0	0	0
10	26	1	0	0	0	0	0	585
11	25	4	2	0	0	0	0	0
12	29	0	0	0	788	0	0	0
13	23	0	9	0	0	1184	0	490
14	24	3	4	0	0	0	0	100
15	37	1	0	0	0	0	465	0
16	21	1	0	0	0	0	0	0
17	19	0	0	0	0	0	0	0
18	21	11	0	0	0	0	0	0
19	27	1	0	0	0	0	0	0
20	20	0	0	0	0	0	216	0
21	16	0	0	0	0	0	0	0
22	14	1	0	0	0	0	0	0
23	45	20	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0
31	0	0	0	0	0	0	0	0
