day	application	lottery	rewordPoint	mailMagazine	usingCard 	questionnaire	campaign	shopping
0	0	0	0	0	0	0	0	0
1	19	1	14	0	0	0	0	0
2	40	1	57	7	16	119	0	0
3	28	2	0	1	0	5	0	0
4	21	1	4	0	28	0	0	0
5	24	1	5	0	98	0	0	180
6	18	2	0	0	22	0	0	206
7	18	2	3	0	0	0	0	0
8	15	1	0	30	0	0	0	100
9	46	3	0	2	0	15	0	0
10	26	1	0	5	16	0	0	585
11	25	4	2	2	58	17	0	0
12	29	0	0	2	0	13	0	0
13	23	0	9	1	0	98	0	490
14	24	3	4	2	0	0	0	100
15	37	1	0	5	0	0	465	0
16	21	1	0	4	0	0	0	0
17	19	0	0	0	0	3	0	0
18	21	11	0	3	92	0	0	0
19	27	1	0	0	8	0	0	0
20	20	0	0	0	0	0	216	0
21	16	0	0	5	144	0	0	0
22	14	1	0	5	0	0	0	0
23	45	20	0	3	0	3	0	0
24	29	23	0	5	121	0	0	0
25	28	2	0	5	0	0	56	359
26	26	1	1	1	0	95	0	0
27	22	1	2	1	0	0	0	0
28	0	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0
31	0	0	0	0	0	0	0	0
